"","Variable","Feature","N1","N2","Mean1","Mean2","Beta","SE","P","FDR","FC","FC_lower","FC_upper"
"K05591","Group","K05591",15,19,0.022368928903,0.045699524456,0.00111447922284149,0.00576477546852199,0.847733556901116,0.99979701592855,1.00077279658463,0.992965514560264,1.00864146407679
"K12113","Group","K12113",16,17,0.0320579049785,0.0570276472725,0.0014468542865708,0.00750832311797284,0.848220085450065,0.99979701592855,1.0010033860247,0.990844481236924,1.01126644776994
"K09954","Group","K09954",13,17,0.044515295052,0.0879334470995,-0.00251911794404411,0.0130988824098211,0.848519176274196,0.99979701592855,0.99825540407933,0.980647855996394,1.0161790959723
"K14061","Group","K14061",16,17,0.0255510198745,0.049889532281,0.00129965001829013,0.00675927025849328,0.848549361529725,0.99979701592855,1.000901254632,0.991752119227068,1.01013479286
"K02441","Group","K02441",17,20,0.040536535249,0.066170731701,0.00164743036005151,0.00857486699618135,0.84866877934669,0.99979701592855,1.00114256393865,0.98954738005655,1.0128736162915
"K07711","Group","K07711",16,18,0.0280828298655,0.0519609055325,0.001213795658309,0.0063415925961855,0.849229447836076,0.99979701592855,1.0008416930633,0.992255991800898,1.00950168389087
"K07261","Group","K07261",16,17,0.032486268953,0.0567625227325,0.00133820825828273,0.0069935181799196,0.849270323521708,0.99979701592855,1.00092800561223,0.991463050440801,1.01048331753104
"K10231","Group","K10231",9,7,0.014414640613,0.029466637763,0.00263459482794499,0.0137714430629116,0.849302405707698,0.99979701592855,1.00182783042616,0.983258437561848,1.02074791679908
"K07641","Group","K07641",16,19,0.031492783377,0.0560325252525,0.00137689934303195,0.00719801214240842,0.849317745156381,0.99979701592855,1.00095484947632,0.991214224013691,1.01079119570455
"K11743","Group","K11743",16,17,0.030542521364,0.0552946306425,0.00133091108980338,0.00696205137236196,0.849412900306182,0.99979701592855,1.00092294291941,0.991500421173043,1.01043500967672
"K01869","Group","K01869",20,20,0.44786738004,0.491649356545,-0.00314430821124143,0.0164495678160617,0.84942700858295,0.99979701592855,0.997822904945255,0.975771018179791,1.02037315218757
"K03185","Group","K03185",17,19,0.032669453736,0.0575061058425,0.00140930360909342,0.00737378785986624,0.849446418783784,0.99979701592855,1.00097733210127,0.99099980552194,1.01105531383314
"K03814","Group","K03814",20,20,0.053346431414,0.085302379019,-0.00167400652488926,0.00877037596635734,0.849643143674093,0.99979701592855,0.998840340022959,0.987009623645889,1.01081286438917
"K02377","Group","K02377",19,19,0.044737241067,0.068464308889,0.00158930188232767,0.00833026799346551,0.849708610925887,0.99979701592855,1.00110222712511,0.989836382854263,1.012496293847
"K22015","Group","K22015",17,20,0.050321777615,0.078083890674,0.00204343385330672,0.0107203167687722,0.84984336745375,0.99979701592855,1.00141740398291,0.986938171884685,1.01610905887329
"K10544","Group","K10544",18,18,0.0342043557365,0.059062681695,0.0014357339244362,0.00753267738251827,0.849853055072057,0.99979701592855,1.00099567027263,0.990804060576971,1.01129211291389
"K03528","Group","K03528",17,18,0.031731915907,0.056154652029,0.00132267689398406,0.00695231352520068,0.850126035831471,0.99979701592855,1.00091723015839,0.99150787928961,1.0104158752079
"K02554","Group","K02554",17,19,0.038661668103,0.0634884773615,0.0015220941568608,0.00800111398486864,0.850137404912113,0.99979701592855,1.00105559201887,0.990232984222537,1.0119964839376
"K14055","Group","K14055",16,18,0.0254223321375,0.0484220227785,0.00104629669200892,0.00550055589812724,0.850151988534365,0.99979701592855,1.00072550065047,0.993275070003413,1.00823181603531
"K01465","Group","K01465",20,20,0.31393962989,0.339952105995,-0.00337031213234966,0.0177287185600642,0.850239033019148,0.99979701592855,0.997666604258032,0.973924201272116,1.02198780146511
"K04764","Group","K04764",17,18,0.0347630788665,0.0598044360595,0.00147242773515485,0.00775840000969099,0.850487793059893,0.99979701592855,1.00102113013193,0.990525460451901,1.0116280125838
"K01061","Group","K01061",15,20,0.0357705094325,0.061393014212,0.00156904144838491,0.0082774058235236,0.8506650767704,0.99979701592855,1.00108816828208,0.989893570734227,1.0124093643027
"K01252","Group","K01252",17,18,0.0297333216355,0.054125466667,0.00132088188313538,0.00697130719492974,0.850729734687787,0.99979701592855,1.00091598481123,0.991481060943044,1.01044069132067
"K03645","Group","K03645",18,18,0.030453347838,0.0548046837925,0.00130546012066571,0.0068936757303422,0.850810178709611,0.99979701592855,1.00090528552578,0.991575036096627,1.01032332816395
"K07666","Group","K07666",17,18,0.032506279562,0.0569495080995,0.00132501480282223,0.00700791513301888,0.851041041891373,0.99979701592855,1.00091885216101,0.991434591642953,1.01049384100177
"K03281","Group","K03281",20,19,0.101548010034,0.135604230325,0.00277569156543616,0.0146972785811891,0.851209550766668,0.99979701592855,1.00192581478662,0.982118509094807,1.02213259300149
"K01580","Group","K01580",20,20,0.201061523554,0.238735630745,-0.00391472367772709,0.0207583240557964,0.851421085836336,0.99979701592855,0.997290198478477,0.969557900255689,1.02581572458844
"K03808","Group","K03808",16,17,0.0488394138175,0.09929898267,-0.00289390840748047,0.0153472736797673,0.851439768472193,0.99979701592855,0.997996106028392,0.977402998189879,1.01902309435554
"K07706","Group","K07706",15,19,0.0341096896795,0.047362687443,0.00225814114940186,0.0119793684636716,0.851485849710234,0.99979701592855,1.00156644977373,0.98539808902681,1.01800010014538
"K10537","Group","K10537",16,18,0.0323597615875,0.0574451997055,0.0014294273808769,0.00758372140597425,0.851498496014097,0.99979701592855,1.00099129456687,0.990731023012936,1.01135782419682
"K03449","Group","K03449",19,20,0.06601039957,0.1137516974145,-0.00279955007090418,0.0148639095121682,0.851608087341119,0.99979701592855,0.998061381314856,0.978109023586419,1.01842074538852
"K07318","Group","K07318",9,10,0.007887689252,0.0316442831465,-0.00232809846081132,0.0123697767974955,0.851714620022705,0.99979701592855,0.998387586453596,0.981749687659836,1.01530745088458
"K00362","Group","K00362",17,19,0.03275303815,0.0578191358485,0.00143830440631408,0.00764262055773459,0.851725065840409,0.99979701592855,1.00099745377049,0.990657844927183,1.01144497828981
"K00285","Group","K00285",16,18,0.0323096859355,0.0562485373545,0.00133353745089521,0.00709778008454624,0.851969693812589,0.99979701592855,1.00092476505603,0.991319413224443,1.01062318757964
"K11733","Group","K11733",17,20,0.0348396697115,0.06306729802,-0.00116388168969901,0.0062011903408405,0.852120790603091,0.99979701592855,0.999193584016561,0.99081099631364,1.00764709117522
"K08298","Group","K08298",19,19,0.0374326513025,0.0677560456495,-0.00135428296186262,0.00721791886474591,0.852166656704083,0.99979701592855,0.999061723040666,0.989312764248066,1.00890675074188
"K05522","Group","K05522",17,17,0.033033898555,0.0574528090395,0.00132413489897797,0.00706319075581468,0.852289741332434,0.99979701592855,1.00091824169792,0.991359537312194,1.01056911126296
"K13641","Group","K13641",15,18,0.033965729858,0.0588992450695,0.00143379286093185,0.00764830612430636,0.85229315058632,0.99979701592855,1.00099432349122,0.990647094964476,1.01144962798036
"K13655","Group","K13655",16,18,0.0265567767305,0.05015152547,0.00119610067950012,0.00639070135490289,0.852528846201126,0.99979701592855,1.00082941759035,0.992177623703479,1.0095566551636
"K00281","Group","K00281",20,20,0.1551943786415,0.177581035806,0.0028332080363614,0.0151495973641371,0.852643495844569,0.99979701592855,1.00196575973971,0.981554307953174,1.02280166828902
"K13059","Group","K13059",19,20,0.113461995024,0.120868130319,0.003621768907418,0.0193697364297713,0.852670431650506,0.99979701592855,1.00251357264688,0.976476402489846,1.02924500866436
"K06080","Group","K06080",16,18,0.0335761564885,0.058292210073,0.00139104159496031,0.0074546278556963,0.852966084506274,0.99979701592855,1.00096466154653,0.990878430410252,1.01115356123972
"K08305","Group","K08305",17,19,0.030227415919,0.0544336747485,0.00124694892354513,0.00668650187797444,0.853054531020784,0.99979701592855,1.00086469276208,0.991813938265702,1.00999803952076
"K05811","Group","K05811",17,17,0.0371089387965,0.072280207772,-0.00185218491896228,0.00996407986052601,0.853522744202248,0.99979701592855,0.998716987011387,0.985288564802003,1.01232842415617
"K02086","Group","K02086",17,20,0.014619828184,0.0292347399475,0.00202996473184019,0.0109571722594431,0.854007639198514,0.99979701592855,1.00140805470998,0.986611430535857,1.01642659004403
"K02083","Group","K02083",19,19,0.0385552651975,0.062869854374,0.00154917960915371,0.00837340547121515,0.854203645611794,0.99979701592855,1.00107438621808,0.98975084898991,1.01252747372195
