"","Feature","P","FDR","FC","NPC association"
"Dolusvirus","Dolusvirus",5.22134845883206e-05,0.000524329809342466,0.914156280121857,"enriched"
"Jenstvirus","Jenstvirus",5.23316918672598e-05,0.000524329809342466,0.91368530660704,"enriched"
"Deltapapillomavirus","Deltapapillomavirus",5.24024803895445e-05,0.000524329809342466,0.913837071002019,"enriched"
"Lidleunavirus","Lidleunavirus",5.26024164612361e-05,0.000524329809342466,0.913852228515967,"enriched"
"Paundivirus","Paundivirus",5.26926687915338e-05,0.000524329809342466,0.918357015032385,"enriched"
"Neferthenavirus","Neferthenavirus",5.26978440375744e-05,0.000524329809342466,0.914477143353611,"enriched"
"Wroclawvirus","Wroclawvirus",5.2855897098999e-05,0.000524329809342466,0.916876689567756,"enriched"
"Carbonactinospora","Carbonactinospora",5.29545288440818e-05,0.000524329809342466,0.917118148113332,"enriched"
"Menderavirus","Menderavirus",5.2978169640088e-05,0.000524329809342466,0.917294314411854,"enriched"
"Quwivirus","Quwivirus",5.30886088147686e-05,0.000524329809342466,0.914619869811504,"enriched"
"Betaentomopoxvirus","Betaentomopoxvirus",5.31356518909411e-05,0.000524329809342466,0.92167445889047,"enriched"
"Phikzvirus","Phikzvirus",5.32704565304701e-05,0.000524329809342466,0.918436814978946,"enriched"
"Sharonstreetvirus","Sharonstreetvirus",5.3379722729354e-05,0.000524329809342466,0.915258796421487,"enriched"
"Huanghaivirus","Huanghaivirus",5.35380429883543e-05,0.000524329809342466,0.914025495790479,"enriched"
"Jeilongvirus","Jeilongvirus",5.36440941590244e-05,0.000524329809342466,0.913837071002019,"enriched"
"Pollockvirus","Pollockvirus",5.37104647251529e-05,0.000524329809342466,0.914157822193334,"enriched"
"Betaricinrhavirus","Betaricinrhavirus",5.37809131285189e-05,0.000524329809342466,0.916579254472276,"enriched"
"Leporipoxvirus","Leporipoxvirus",5.37894264647103e-05,0.000524329809342466,0.91399977591715,"enriched"
"Acionnavirus","Acionnavirus",5.40544898212296e-05,0.000524329809342466,0.913995089143725,"enriched"
"Kukulkanvirus","Kukulkanvirus",5.41745586727297e-05,0.000524329809342466,0.913730868853818,"enriched"
"Salacisavirus","Salacisavirus",5.43279995929201e-05,0.000524329809342466,0.914633698593213,"enriched"
"Ittyvirus","Ittyvirus",5.43809051549801e-05,0.000524329809342466,0.914314353460309,"enriched"
"Trungvirus","Trungvirus",5.44100876372996e-05,0.000524329809342466,0.91555165679906,"enriched"
"Samwavirus","Samwavirus",5.44408528131944e-05,0.000524329809342466,0.914470911530138,"enriched"
"Sunrhavirus","Sunrhavirus",5.44885716111406e-05,0.000524329809342466,0.913530394267708,"enriched"
"Chaoshanvirus","Chaoshanvirus",5.4627845139536e-05,0.000524329809342466,0.914314353460309,"enriched"
"Minunavirus","Minunavirus",5.46573522812729e-05,0.000524329809342466,0.91408008325381,"enriched"
"Chatterjeevirus","Chatterjeevirus",5.49335074013055e-05,0.000524329809342466,0.914784137916337,"enriched"
"Kuleanavirus","Kuleanavirus",5.49335365861276e-05,0.000524329809342466,0.916018040404319,"enriched"
"Candidatus Korarchaeum","Candidatus Korarchaeum",5.49902563876664e-05,0.000524329809342466,0.913996661626649,"enriched"
"Birdsnestvirus","Birdsnestvirus",5.50591573783069e-05,0.000524329809342466,0.914474027436566,"enriched"
"Iltovirus","Iltovirus",5.50850356526784e-05,0.000524329809342466,0.914784137916337,"enriched"
"Pyrodictium","Pyrodictium",5.5189888803627e-05,0.000524329809342466,0.917738671814219,"enriched"
"Reyvirus","Reyvirus",5.54205474551096e-05,0.000524329809342466,0.914793459049351,"enriched"
"Crinivirus","Crinivirus",5.5493807644856e-05,0.000524329809342466,0.918435918433997,"enriched"
"Sarumanvirus","Sarumanvirus",5.5532257819888e-05,0.000524329809342466,0.914322096760962,"enriched"
"Tlsvirus","Tlsvirus",5.5603253770429e-05,0.000524329809342466,0.914474027436566,"enriched"
"Colunavirus","Colunavirus",5.56768793091457e-05,0.000524329809342466,0.912912052434704,"enriched"
"Kirovvirus","Kirovvirus",5.56851035271354e-05,0.000524329809342466,0.913995089143725,"enriched"
