"","Feature","P","FDR","FC","NPC association"
"ENOG4105MBY","ENOG4105MBY",0.0108488263104659,0.999996497980396,1.0740282735161,"depleted"
"ENOG4105DVG","ENOG4105DVG",0.0108786393547268,0.999996497980396,1.03812443822419,"depleted"
"ENOG4105K90","ENOG4105K90",0.010882504050772,0.999996497980396,1.0442232357471,"depleted"
"ENOG4108VWQ","ENOG4108VWQ",0.0111141995478545,0.999996497980396,1.0270971223487,"depleted"
"ENOG4111JEJ","ENOG4111JEJ",0.0111141995478545,0.999996497980396,1.0270971223487,"depleted"
"ENOG4108RAC","ENOG4108RAC",0.0111223105943713,0.999996497980396,1.0513793300117,"depleted"
"ENOG4108VP1","ENOG4108VP1",0.0112782253852697,0.999996497980396,1.03509390949096,"depleted"
"ENOG4111XHD","ENOG4111XHD",0.0112782253852697,0.999996497980396,1.03509390949096,"depleted"
"ENOG4107XPQ","ENOG4107XPQ",0.0114044674941921,0.999996497980396,1.0599036035057,"depleted"
"ENOG4105CCX","ENOG4105CCX",0.0114390186355939,0.999996497980396,1.04984438244372,"depleted"
"ENOG4108UHX","ENOG4108UHX",0.0115801237802761,0.999996497980396,0.942103628659749,"enriched"
"ENOG4108SIE","ENOG4108SIE",0.0117023907986907,0.999996497980396,1.03417662221615,"depleted"
"ENOG4111JEI","ENOG4111JEI",0.0117023907986907,0.999996497980396,1.03417662221615,"depleted"
"ENOG41087GE","ENOG41087GE",0.0118378084165552,0.999996497980396,1.03958408000569,"depleted"
"ENOG4108SCN","ENOG4108SCN",0.0119888742158489,0.999996497980396,1.03169355220475,"depleted"
"ENOG4111FNM","ENOG4111FNM",0.0119888742158489,0.999996497980396,1.03169355220475,"depleted"
"COG3378","COG3378",0.0121013641265295,0.999996497980396,1.06514537955656,"depleted"
"ENOG4108QYB","ENOG4108QYB",0.0121080528086018,0.999996497980396,1.02394211785468,"depleted"
"ENOG4110INW","ENOG4110INW",0.0121080528086018,0.999996497980396,1.02394211785468,"depleted"
"ENOG4108UET","ENOG4108UET",0.0122990740219214,0.999996497980396,1.07754137401893,"depleted"
"ENOG4111HR3","ENOG4111HR3",0.0122990740219214,0.999996497980396,1.07754137401893,"depleted"
"COG0311","COG0311",0.0123433882266163,0.999996497980396,0.942550137744839,"enriched"
"ENOG4108SA1","ENOG4108SA1",0.0123614892793805,0.999996497980396,1.0228408737595,"depleted"
"ENOG4107YTR","ENOG4107YTR",0.0123822028175262,0.999996497980396,1.03384140403011,"depleted"
"ENOG4105U4S","ENOG4105U4S",0.0124006942825931,0.999996497980396,1.03024237777045,"depleted"
"ENOG410XQ8K","ENOG410XQ8K",0.0124006942825931,0.999996497980396,1.03024237777045,"depleted"
"ENOG4107IB1","ENOG4107IB1",0.0124504765131204,0.999996497980396,1.02333211291207,"depleted"
"ENOG41060K3","ENOG41060K3",0.0125628728962229,0.999996497980396,1.04767647887466,"depleted"
"ENOG4105GJU","ENOG4105GJU",0.0125706976834107,0.999996497980396,1.03520836749368,"depleted"
"ENOG4111S28","ENOG4111S28",0.0125706976834107,0.999996497980396,1.03520836749368,"depleted"
"COG2073","COG2073",0.0128096301393823,0.999996497980396,1.03842438694236,"depleted"
"ENOG4107YZM","ENOG4107YZM",0.0128117418149029,0.999996497980396,1.03785436660278,"depleted"
"ENOG4108115","ENOG4108115",0.012883107205123,0.999996497980396,1.05180742773902,"depleted"
"ENOG41067TY","ENOG41067TY",0.0128861575934409,0.999996497980396,1.13488724572769,"depleted"
"ENOG410XUIZ","ENOG410XUIZ",0.0128861575934409,0.999996497980396,1.13488724572769,"depleted"
"COG3497","COG3497",0.0129108197601792,0.999996497980396,1.01398598350965,"depleted"
"ENOG410ZY37","ENOG410ZY37",0.0129120945073629,0.999996497980396,1.01757485431768,"depleted"
"ENOG4108V7D","ENOG4108V7D",0.0131051977034564,0.999996497980396,1.02219161376707,"depleted"
"ENOG4108QH2","ENOG4108QH2",0.0131344404089064,0.999996497980396,1.03078698320207,"depleted"
"ENOG410XPHC","ENOG410XPHC",0.0131344404089064,0.999996497980396,1.03078698320207,"depleted"
"ENOG4105MNV","ENOG4105MNV",0.0131364849558978,0.999996497980396,1.06698100660347,"depleted"
"ENOG4111U5R","ENOG4111U5R",0.0131364849558978,0.999996497980396,1.06698100660347,"depleted"
"ENOG4105C5H","ENOG4105C5H",0.0132023702636227,0.999996497980396,0.941240797956782,"enriched"
"COG4728","COG4728",0.0132604963548916,0.999996497980396,1.03765736226174,"depleted"
"COG0307","COG0307",0.0134405723803488,0.999996497980396,1.04074426984882,"depleted"
"ENOG4108R6K","ENOG4108R6K",0.0134405723803488,0.999996497980396,1.04074426984882,"depleted"
"COG0141","COG0141",0.0135506502362536,0.999996497980396,1.04078770281515,"depleted"
"COG1188","COG1188",0.0135873072833359,0.999996497980396,1.04789920603505,"depleted"
"COG0199","COG0199",0.0136518398376382,0.999996497980396,0.941759315589692,"enriched"
"ENOG4105E39","ENOG4105E39",0.0136758866545139,0.999996497980396,1.04012115410897,"depleted"
"ENOG4106ZV4","ENOG4106ZV4",0.0137579520160126,0.999996497980396,1.03133504411094,"depleted"
"ENOG410YSSJ","ENOG410YSSJ",0.0137579520160126,0.999996497980396,1.03133504411094,"depleted"
"ENOG4105DUF","ENOG4105DUF",0.0138203978612175,0.999996497980396,1.04780069536009,"depleted"
"ENOG4108P62","ENOG4108P62",0.013846495639247,0.999996497980396,1.04019414293466,"depleted"
"COG2337","COG2337",0.0139402559560744,0.999996497980396,1.04727936283218,"depleted"
"COG0149","COG0149",0.0139511249983428,0.999996497980396,1.04842787064311,"depleted"
"ENOG4108ZB6","ENOG4108ZB6",0.0140801886272107,0.999996497980396,1.03729650853646,"depleted"
"ENOG4105WDA","ENOG4105WDA",0.0141371465256855,0.999996497980396,1.03701057241475,"depleted"
"ENOG4105MZU","ENOG4105MZU",0.0142767481220758,0.999996497980396,1.06313168020247,"depleted"
"COG4506","COG4506",0.0143228569007841,0.999996497980396,1.03292183598292,"depleted"
"ENOG41086A5","ENOG41086A5",0.014406670694219,0.999996497980396,0.995022295236392,"enriched"
"ENOG4105MZI","ENOG4105MZI",0.0144469129631275,0.999996497980396,1.03132116273592,"depleted"
"ENOG4111VYZ","ENOG4111VYZ",0.0144469129631275,0.999996497980396,1.03132116273592,"depleted"
"ENOG41069HR","ENOG41069HR",0.0144819957894821,0.999996497980396,1.04046010684606,"depleted"
"ENOG410XXBE","ENOG410XXBE",0.0144819957894821,0.999996497980396,1.04046010684606,"depleted"
"ENOG4105D28","ENOG4105D28",0.0144896306190944,0.999996497980396,1.04879289461975,"depleted"
"ENOG4108YKX","ENOG4108YKX",0.0146370856978161,0.999996497980396,1.02571131476788,"depleted"
"ENOG4107QI7","ENOG4107QI7",0.0146890300621149,0.999996497980396,1.03412580227756,"depleted"
"COG0301","COG0301",0.0147351998622215,0.999996497980396,1.03484243043661,"depleted"
"ENOG4105QTV","ENOG4105QTV",0.0147891380211128,0.999996497980396,1.0341375893057,"depleted"
"ENOG4105G2M","ENOG4105G2M",0.0150307958608199,0.999996497980396,1.04542773146404,"depleted"
"ENOG41080HJ","ENOG41080HJ",0.0150403989943151,0.999996497980396,0.99603023368286,"enriched"
"ENOG4105CBA","ENOG4105CBA",0.0150530694252714,0.999996497980396,1.03239670907033,"depleted"
"ENOG41083NB","ENOG41083NB",0.0150765962670414,0.999996497980396,1.0428582293367,"depleted"
"ENOG41121A6","ENOG41121A6",0.0150765962670414,0.999996497980396,1.0428582293367,"depleted"
"COG0421","COG0421",0.0152595620991692,0.999996497980396,1.04553735795841,"depleted"
"ENOG41068HB","ENOG41068HB",0.015369434997981,0.999996497980396,1.02499086963137,"depleted"
"ENOG410XW85","ENOG410XW85",0.015369434997981,0.999996497980396,1.02499086963137,"depleted"
"ENOG4105CP7","ENOG4105CP7",0.0154071897097606,0.999996497980396,1.0478544760658,"depleted"
"ENOG410ZWNN","ENOG410ZWNN",0.0155259623169691,0.999996497980396,1.0290980325548,"depleted"
"ENOG4108T8Z","ENOG4108T8Z",0.0157046820513103,0.999996497980396,1.02867892919018,"depleted"
"ENOG4111PT3","ENOG4111PT3",0.0157046820513103,0.999996497980396,1.02867892919018,"depleted"
"ENOG4106A49","ENOG4106A49",0.0157093313131304,0.999996497980396,1.04658243614405,"depleted"
"ENOG410XZMB","ENOG410XZMB",0.0157093313131304,0.999996497980396,1.04658243614405,"depleted"
"ENOG4107YU2","ENOG4107YU2",0.0159770833004806,0.999996497980396,0.980260891873856,"enriched"
"COG3705","COG3705",0.0161564147286028,0.999996497980396,1.02984978741395,"depleted"
