Biomarker_Names	Average_Abundance(log10)	Enriched_Groups	LDA	KW_Pvalue
Sinomonas	0.8066622416863124	HC	0.331188993555996	0.048307142590648625
Sinorhizobium	1.7159834552780986	HC	1.0904167893614174	0.006293987011787071
Sinsheimervirus	0.0	HC	0.008491481260681246	0.6045923202260254
Siophivirus	0.0	ID	0.002018816076247675	0.3365001861651229
Siovirus	0.0			-
Siphunculivirus	0.0			-
Sixamavirus	0.0	HC	0.004142273060049537	0.270139333975853
Skarprettervirus	0.0			-
Skatevirus	0.8623560970249035			-
Skermanella	1.1013940658985144	HC	0.5113031497812319	0.1850204964626589
Skermania	0.3719711830750633	HC	0.11281919398630488	0.2133876641829925
Skhembuvirus	0.0			-
Skogvirus	0.0	HC	0.004735627347420802	0.06426469941480747
Skrubnovirus	0.0			-
Skulduggeryvirus	0.0	ID	0.0012012553391266226	0.5940376494237177
Skunavirus	0.0	HC	0.012120077102229152	0.193215700751325
Skysandvirus	0.0			-
Slackia	1.5044350367433204	HC	0.8595358881372688	0.1762139955513056
Slashvirus	0.0	ID	0.020004865378505342	0.7011888433630067
Sleepyheadvirus	0.0			-
Slepowronvirus	0.0			-
Slopekvirus	0.0	HC	0.028962648582650626	0.08209946981556354
Smoothievirus	0.0	ID	0.0018659881243230417	0.15207808079297255
Smudhfivirus	0.0			-
Sneathia	0.6166134245393007	HC	0.4208201388006457	0.004139780278749303
Sneathiella	0.8815139619690716	ID	0.29236618372788165	0.4327745949916696
Snodgrassella	0.8005836542485677	ID	0.23562818138659608	0.19414845126597652
Snuvirus	0.0	HC	0.001954585857344158	0.3173105078628991
Snuwdevirus	0.0			-
Sobemovirus	0.0			-
Socyvirus	0.0			-
Sodaliphilus	1.482816926719872	HC	0.9436946558573153	0.22350758765929912
Sodalis	0.9420223741074467	ID	0.26295280550515193	0.3867079925517324
Soetuvirus	0.0			-
Sogarnavirus	0.0	ID	0.0032257598134899455	0.3173105078628991
Sokavirus	0.0	ID	0.0019014246870053806	0.9714372531924288
Solanum	2.4468344334045886	HC	1.3109644730876442	0.31689773947703104
Solendovirus	0.0			-
